HEAT: 	INITIALIZED
2023-10-27 01:33:01.615890	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:33:01.616012	FAN :	Waiting for 1 minute before next check
2023-10-27 01:33:48.943030	HEAT-> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:33:48.944149	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:34:02.141488	FAN -> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:34:02.142795	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:34:02.143866	FAN :	Waiting for 1 minute before next check
2023-10-27 01:34:49.470365	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:34:49.471717	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:35:02.670133	FAN -> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:35:02.670418	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:35:02.670525	FAN :	Waiting for 1 minute before next check
2023-10-27 01:35:49.998010	HEAT-> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:35:49.999335	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:36:03.195941	FAN -> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:36:03.196242	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:36:03.196365	FAN :	Waiting for 1 minute before next check
2023-10-27 01:36:50.525682	HEAT-> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:36:50.527018	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:37:03.721730	FAN -> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:37:03.722031	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:37:03.722153	FAN :	Waiting for 1 minute before next check
2023-10-27 01:37:51.053340	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:37:51.054675	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:38:04.247554	FAN -> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:38:04.247866	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:38:04.247990	FAN :	Waiting for 1 minute before next check
2023-10-27 01:38:51.581096	HEAT-> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:38:51.582388	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:39:04.773462	FAN -> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:39:04.774627	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:39:04.775549	FAN :	Waiting for 1 minute before next check
2023-10-27 01:39:52.108795	HEAT-> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:39:52.110115	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:40:05.301723	FAN -> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:40:05.303108	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:40:05.304157	FAN :	Waiting for 1 minute before next check
2023-10-27 01:40:52.636529	HEAT-> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:40:52.636808	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:41:08.360391	FAN -> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:41:08.361719	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:41:08.362744	FAN :	Waiting for 1 minute before next check
2023-10-27 01:41:55.691745	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:41:55.692048	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:42:08.889060	FAN -> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:42:08.889352	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:42:08.889459	FAN :	Waiting for 1 minute before next check
2023-10-27 01:42:56.217446	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:42:56.217778	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:43:09.415013	FAN -> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:43:09.415340	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:43:09.415467	FAN :	Waiting for 1 minute before next check
2023-10-27 01:43:56.743275	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:43:56.743586	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:44:09.941114	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:44:09.941429	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:44:09.941553	FAN :	Waiting for 1 minute before next check
2023-10-27 01:44:57.268961	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:44:57.269294	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:45:10.467192	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:45:10.467514	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:45:10.467637	FAN :	Waiting for 1 minute before next check
2023-10-27 01:45:57.794663	HEAT-> 	Temperature=17.1°, Humidity=96.2%
2023-10-27 01:45:57.796116	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:46:10.993069	FAN -> 	Temperature=17.1°, Humidity=96.3%
2023-10-27 01:46:10.993355	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:46:10.993461	FAN :	Waiting for 1 minute before next check
2023-10-27 01:46:58.322569	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:46:58.324018	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:47:11.518954	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:47:11.519311	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:47:11.519437	FAN :	Waiting for 1 minute before next check
2023-10-27 01:47:58.850400	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:47:58.852009	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:48:12.044965	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:48:12.045282	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:48:12.045405	FAN :	Waiting for 1 minute before next check
2023-10-27 01:48:59.378525	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:48:59.378847	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:49:12.570807	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:49:12.572160	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:49:12.573178	FAN :	Waiting for 1 minute before next check
2023-10-27 01:49:59.904576	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:49:59.904848	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:50:13.099539	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:50:13.100852	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:50:13.101860	FAN :	Waiting for 1 minute before next check
2023-10-27 01:51:00.430608	HEAT-> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 01:51:00.430925	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:51:13.628049	FAN -> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 01:51:13.629339	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:51:13.630349	FAN :	Waiting for 1 minute before next check
2023-10-27 01:52:00.956708	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 01:52:00.957007	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:52:14.156658	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:52:14.157974	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:52:14.159026	FAN :	Waiting for 1 minute before next check
2023-10-27 01:53:01.482314	HEAT-> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 01:53:01.482633	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:53:14.685393	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:53:14.686783	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:53:14.687850	FAN :	Waiting for 1 minute before next check
2023-10-27 01:54:02.008081	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:54:02.009551	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:54:15.214150	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:54:15.215609	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:54:15.216703	FAN :	Waiting for 1 minute before next check
2023-10-27 01:55:02.536046	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:55:02.537329	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:55:15.743217	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:55:15.744351	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:55:15.745226	FAN :	Waiting for 1 minute before next check
2023-10-27 01:56:03.063743	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:56:03.065039	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:56:16.271418	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:56:16.272706	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:56:16.273721	FAN :	Waiting for 1 minute before next check
2023-10-27 01:57:03.591491	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:57:03.592788	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:57:16.800133	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:57:16.801413	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:57:16.802421	FAN :	Waiting for 1 minute before next check
2023-10-27 01:58:04.119222	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:58:04.120504	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:58:17.328825	FAN -> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:58:17.330158	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:58:17.331219	FAN :	Waiting for 1 minute before next check
2023-10-27 01:59:04.646932	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 01:59:04.647242	HEAT:	Waiting for 1 minute before next check
2023-10-27 01:59:17.857497	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 01:59:17.858802	FAN : 	No criteria activated - keeping fan off
2023-10-27 01:59:17.859862	FAN :	Waiting for 1 minute before next check
2023-10-27 02:00:05.172745	HEAT-> 	Temperature=17.1°, Humidity=96.1%
2023-10-27 02:00:05.174211	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:00:18.386366	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:00:18.386689	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:00:18.386813	FAN :	Waiting for 1 minute before next check
2023-10-27 02:01:05.700735	HEAT-> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 02:01:05.702157	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:01:18.912175	FAN -> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 02:01:18.912486	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:01:18.912609	FAN :	Waiting for 1 minute before next check
2023-10-27 02:02:06.228615	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:02:06.230052	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:02:19.437995	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:02:19.438310	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:02:19.438433	FAN :	Waiting for 1 minute before next check
2023-10-27 02:03:06.756649	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:03:06.758053	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:03:19.964007	FAN -> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 02:03:19.964309	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:03:19.964432	FAN :	Waiting for 1 minute before next check
2023-10-27 02:04:07.284698	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:04:07.286103	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:04:20.490262	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:04:20.490570	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:04:20.490698	FAN :	Waiting for 1 minute before next check
2023-10-27 02:05:07.812742	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:05:07.814169	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:05:21.016410	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:05:21.017649	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:05:21.018589	FAN :	Waiting for 1 minute before next check
2023-10-27 02:06:08.340898	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:06:08.342503	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:06:21.545031	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:06:21.545340	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:06:21.545464	FAN :	Waiting for 1 minute before next check
2023-10-27 02:07:08.869026	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:07:08.869336	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:07:22.070847	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:07:22.071181	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:07:22.071306	FAN :	Waiting for 1 minute before next check
2023-10-27 02:08:09.394757	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:08:09.395537	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:08:22.596888	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:08:22.597210	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:08:22.597334	FAN :	Waiting for 1 minute before next check
2023-10-27 02:09:09.920967	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:09:09.922843	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:09:23.122772	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:09:23.124665	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:09:23.125763	FAN :	Waiting for 1 minute before next check
2023-10-27 02:10:10.449443	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:10:10.451366	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:10:23.652478	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:10:23.654553	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:10:23.655792	FAN :	Waiting for 1 minute before next check
2023-10-27 02:11:10.977839	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:11:10.979505	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:11:24.182233	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:11:24.183193	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:11:24.183344	FAN :	Waiting for 1 minute before next check
2023-10-27 02:12:11.505673	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:12:11.507561	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:12:24.708793	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:12:24.709124	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:12:24.709246	FAN :	Waiting for 1 minute before next check
2023-10-27 02:13:12.033926	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:13:12.034223	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:13:25.234670	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:13:25.236591	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:13:25.237667	FAN :	Waiting for 1 minute before next check
2023-10-27 02:14:12.559942	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:14:12.561505	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:14:25.764143	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:14:25.764476	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:14:25.764601	FAN :	Waiting for 1 minute before next check
2023-10-27 02:15:13.088011	HEAT-> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 02:15:13.089605	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:15:26.290002	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:15:26.290331	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:15:26.290455	FAN :	Waiting for 1 minute before next check
2023-10-27 02:16:13.616127	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:16:13.617719	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:16:26.815985	FAN -> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 02:16:26.816289	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:16:26.816412	FAN :	Waiting for 1 minute before next check
2023-10-27 02:17:14.144288	HEAT-> 	Temperature=17.0°, Humidity=96.0%
2023-10-27 02:17:14.145721	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:17:27.342108	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:17:27.342431	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:17:27.342554	FAN :	Waiting for 1 minute before next check
2023-10-27 02:18:14.672115	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:18:14.673714	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:18:27.868259	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:18:27.869636	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:18:27.870668	FAN :	Waiting for 1 minute before next check
2023-10-27 02:19:15.200182	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:19:15.200467	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:19:28.397016	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:19:28.397347	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:19:28.397470	FAN :	Waiting for 1 minute before next check
2023-10-27 02:20:15.725989	HEAT-> 	Temperature=17.0°, Humidity=95.9%
2023-10-27 02:20:15.726307	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:20:28.923139	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:20:28.923463	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:20:28.923586	FAN :	Waiting for 1 minute before next check
2023-10-27 02:21:16.251763	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:21:16.252082	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:21:29.448983	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:21:29.449342	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:21:29.449466	FAN :	Waiting for 1 minute before next check
2023-10-27 02:22:16.777498	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:22:16.777816	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:22:29.975044	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:22:29.975372	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:22:29.975497	FAN :	Waiting for 1 minute before next check
2023-10-27 02:23:19.834274	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:23:19.834594	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:23:30.501242	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:23:30.502683	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:23:30.503849	FAN :	Waiting for 1 minute before next check
2023-10-27 02:24:20.360306	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:24:20.360567	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:24:31.030485	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:24:31.030799	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:24:31.030921	FAN :	Waiting for 1 minute before next check
2023-10-27 02:25:20.886296	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:25:20.887225	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:25:31.556603	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:25:31.557918	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:25:31.558932	FAN :	Waiting for 1 minute before next check
2023-10-27 02:26:21.413084	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:26:21.413378	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:26:32.085325	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:26:32.086637	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:26:32.087736	FAN :	Waiting for 1 minute before next check
2023-10-27 02:27:21.939112	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:27:21.939398	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:27:32.614162	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:27:32.615491	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:27:32.616589	FAN :	Waiting for 1 minute before next check
2023-10-27 02:28:22.464761	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:28:22.465073	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:28:33.143026	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:28:33.144315	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:28:33.145330	FAN :	Waiting for 1 minute before next check
2023-10-27 02:29:22.990480	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:29:22.990783	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:29:33.671615	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:29:33.671892	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:29:33.671999	FAN :	Waiting for 1 minute before next check
2023-10-27 02:30:23.516442	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:30:23.516748	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:30:34.197679	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:30:34.198011	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:30:34.198140	FAN :	Waiting for 1 minute before next check
2023-10-27 02:31:24.042152	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:31:24.042446	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:31:34.723819	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:31:34.724141	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:31:34.724264	FAN :	Waiting for 1 minute before next check
2023-10-27 02:32:24.568184	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:32:24.568493	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:32:35.249867	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:32:35.250196	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:32:35.250321	FAN :	Waiting for 1 minute before next check
2023-10-27 02:33:25.093878	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:33:25.094162	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:33:35.776020	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:33:35.776328	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:33:35.776451	FAN :	Waiting for 1 minute before next check
2023-10-27 02:34:25.619882	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:34:25.620201	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:34:36.301945	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:34:36.302249	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:34:36.302371	FAN :	Waiting for 1 minute before next check
2023-10-27 02:35:26.145600	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:35:26.145916	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:35:36.827839	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:35:36.828149	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:35:36.828272	FAN :	Waiting for 1 minute before next check
2023-10-27 02:36:26.671385	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:36:26.671680	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:36:37.353604	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:36:37.353923	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:36:37.354044	FAN :	Waiting for 1 minute before next check
2023-10-27 02:37:27.197059	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:37:27.198297	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:37:37.879605	FAN -> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:37:37.881025	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:37:37.882116	FAN :	Waiting for 1 minute before next check
2023-10-27 02:38:27.724756	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:38:27.726202	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:38:38.408653	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:38:38.410242	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:38:38.411480	FAN :	Waiting for 1 minute before next check
2023-10-27 02:39:28.252912	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:39:28.253231	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:39:38.938199	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:39:38.938506	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:39:38.938631	FAN :	Waiting for 1 minute before next check
2023-10-27 02:40:28.778696	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:40:28.779035	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:40:39.464270	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:40:39.464589	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:40:39.464712	FAN :	Waiting for 1 minute before next check
2023-10-27 02:41:29.304705	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:41:29.305030	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:41:39.990317	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:41:39.990627	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:41:39.990750	FAN :	Waiting for 1 minute before next check
2023-10-27 02:42:29.830664	HEAT-> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:42:29.831020	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:42:40.516357	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:42:40.516668	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:42:40.516789	FAN :	Waiting for 1 minute before next check
2023-10-27 02:43:30.356480	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:43:30.356795	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:43:41.042469	FAN -> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:43:41.042765	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:43:41.042891	FAN :	Waiting for 1 minute before next check
2023-10-27 02:44:30.882183	HEAT-> 	Temperature=17.1°, Humidity=96.0%
2023-10-27 02:44:30.882493	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:44:41.568903	FAN -> 	Temperature=17.1°, Humidity=95.9%
2023-10-27 02:44:41.569205	FAN : 	No criteria activated - keeping fan off
2023-10-27 02:44:41.569328	FAN :	Waiting for 1 minute before next check
2023-10-27 02:45:31.408256	HEAT-> 	Temperature=17.1°, Humidity=95.8%
2023-10-27 02:45:31.408553	HEAT:	Waiting for 1 minute before next check
2023-10-27 02:45:42.094788	FAN -> 	Temperature=17.1°, Humidity=96.0%
